Classe,Date d'appel,Inscrits sur les tableaux de recensement,"Incorporés (compte les servicé armé, service aux, EVs, ajournés et sursitaires)",Incorporé ,Service armé,Service armé par rapport aux inscrits,Serivce auxiliaire,Service auxiliaire par rapport aux inscrits
1914,August 1914,318464,292447,91.8%,188059,59.1%,7154,2.2%
1915,December 1914,299806,279112,93.1%,211122,70.4%,6012,2.0%
1916,April 1915,313710,293050,93.4%,199693,63.7%,5466,1.7%
1917,January 1916,313070,297402,95.0%,178396,57.0%,3639,1.2%
1918,April 1917,299624,257721,86.0%,201774,67.3%,6945,2.3%
1919,April 1918,302077,229215,75.9%,196109,64.9%,7307,2.4%
1920,March 1920,298302,289495,97.0%,163271,54.7%,5204,1.7%
1921,April 1921,347213,334018,96.2%,237761,68.5%,7333,2.1%
1922,May 1922,349135,333074,95.4%,221358,63.4%,7506,2.1%
